Titre;Temps Total;Temps Préparation;Temps Cuisson;Nombre de personnes;Difficulté;Coût;Ingrédients;Étapes;Ustensiles;Liens_recette
cafe creme au chocolat;25 min;15 min;10 min;3;très facile;bon marché;"['crème fouettée', '500 g de café (bien moulu)', '200 g de chocolat en poudre', ""500 ml d' eau minérale"", 'lait (facultatif)', ""4 sucrettes ou 1 sachet d'aspartame""]";"[""Verser l'eau dans le réservoir de la cafetière."", ""Mettre un filtre et y verser le café, le chocolat et l'aspartame."", 'Laisser passer le mélange.', 'Verser le café dans une tasse et au dessus mettre de la crème chantilly.', 'Et si vous voulez ajouter du lait.', 'BONNE DEGUSTATION']";['1 saladier'];https://www.marmiton.org/recettes/recette_cafe-creme-au-chocolat_20905.aspx
Smoothie vitaminé du petit-déjeuner;10 min;10 min;-;2;très facile;bon marché;['2 bananes', '2 oranges', '25 cl de lait de soja', '4 kiwis'];['mettre dans un mixer les bananes coupées en morceaux et la chair des kiwis.', 'Presser les oranges et rajouter le jus dans le mixer.', 'Rajouter le lait de soja (il peut être nature ou vanillé).'];['1 blender', '1 Mixeur', '1 presse agrume'];https://www.marmiton.org/recettes/recette_smoothie-vitamine-du-petit-dejeuner_72591.aspx
Schrubb  (liqueur d'orange ou de mandarine);1h30;1 h;30 min;2;facile;moyen;"['5 oranges ou mandarines', '1 l de rhum', '500 g de sucre', 'vanille', 'muscade', ""½ l d' eau"", 'cannelle', 'zeste de citron']";"[""Gardez toutes les peaux d'oranges ou de mandarines (non traitées) que vous mangez ou utilisez pour la cuisine, enlevez bien la peau blanche et faites-les sécher. Il en faut suffisamment pour remplir un bocal."", 'Essence d’orange :', 'Mettez à macérer les peaux d’oranges ou de mandarines séchées, dans du rhum blanc pendant 3 à 4 jours au soleil. (Profitez de la fin d’une cuisson au four pour faire sécher plus rapidement les peaux).', 'Sirop :', 'Faites bouillir 500 g de sucre de canne avec 1/2 litre d’eau, de la cannelle, de la vanille, de la muscade et des zestes de citron. Il faut laisser cuire assez longtemps pour que le sirop devienne épais.', 'Schrubb :', 'Mélangez 1/2 litre de sirop avec 1/2 litre de rhum blanc et 10 cl d’essence d’orange, mettez en bouteille et dégustez avec modération.']";['1 Entonnoir', '1 Four', '1 saladier', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_schrubb-liqueur-d-orange-ou-de-mandarine_25680.aspx
Liqueur au chocolat;55 min;30 min;25 min;1;très facile;moyen;"['1 kg de sucre en poudre', '150 g de cacao amère', '1 l de lait entier (non UHT)', ""250 g d' alcool à 95°""]";"['Dans une casserole, mélanger le cacao et le sucre. Ajouter le lait et mélanger, avec une cuillère en bois, sans faire de grumeaux.', ""Cuire à feu vif sans cesser de remuer. A partir de l'ébullition, baissez le feu, en continuant à remuer, pendant environ 15 minutes."", ""Laisser refroidir complètement, et ajouter l'alcool."", ""Verser dans une bouteille, avec une passoire, pour éviter d'éventuels grumeaux.""]";['1 Entonnoir', '1 casserole', '1 Cuillère en bois', '1 Top 5 des meilleures passoires', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-au-chocolat_38981.aspx
Liqueur de fraise;2 j 20 min;2 j;20 min;2;facile;bon marché;"['500 g de fraises', '500 g de sucre', '70 cl de vin rosé de Provence', ""15 cl d' eau de vie""]";"['Faire chauffer le vin à feu doux.', ""A ébullition, l'arrêter et verser sur les fraises entières, puis couvrir d'un tochon et laisser reposer 48 heures."", ""Filtrer le jus à l'aide d'un torchon, pour cela, verser le tout sur un torchon au dessus d'un saladier, puis presser le torchon de façon à sortir le jus des fraises."", 'Mettre à chauffer le jus et quand il arrive à ébullition, verser le sucre dedans et éteindre le feu puis remuer pour dissoudre le sucre.', ""Ensuite, porter à ébullition l'eau de vie (de façon à lui enlever son goût, si possible prendre de l'eau de vie jeune) pendant 30 secondes."", ""Verser l'eau de vie dans le mélange jus-sucre et remuer de temps en temps pour refroidir."", 'Mettre en bouteilles et déguster en kir ou sur une glace!']";['1 Entonnoir', '1 Couvercle', '1 casserole', '1 saladier', '1 presse agrume', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-fraise_39054.aspx
Liqueur des Bronzés;1 h;1 h;-;2;très facile;assez cher;"[""1 l d' eau de vie"", ""500 g d' échalote"", ""250 g d' ail violet (le plus fort)""]";"[""Plus vous mettrez d'ail et d'échalotes, plus se sera fort!"", 'Préparation :', ""Peler les échalotes et les gousses d'ail, et les couper en petits morceaux. Ce sera plus facile, pour les passer par le goulot de la bouteille."", ""Mettre dans une bouteille, et recouvrir d'eau de vie. Laisser macérer."", 'Déguster, le jour où vous vous sentirez plein de courage!']";['1 Entonnoir', '1 couteau', '1 Couvercle'];https://www.marmiton.org/recettes/recette_liqueur-des-bronzes_44704.aspx
Cocktail aux framboises;15 min;15 min;-;20;très facile;assez cher;['450 g de framboises surgelés', '1 bouteille de sirop de sucre de canne (50 cl)', '50 cl de kirsch', '1 l de limonade', '1 citron', '3 crémants d’Alsace'];['La veille : mettre les framboises, le citron en tranches, 3 verres de sirop de sucre de canne, le kirsch et la moitié de la limonade dans un gros recipient, puis laisser macérer au frigo.', 'Mettre le reste de limonade et les bouteilles de crémant au frigo.', 'Juste avant de servir :', 'Rajouter à la préparation de la veille le reste de limonade et les bouteilles de Crémant. Goûter et rajouter du sucre de canne si besoin car certain crémants son plus amers que d’autre.'];['1 Presse-ail', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cocktail-aux-framboise_63672.aspx
Sirop de bissap (fleurs d'hibiscus);50 min;30 min;20 min;1;facile;bon marché;"['1 kg de sucre en poudre roux', ""1 l d' eau"", '1 bouquet de menthe (10 branches)', ""100 g de fleur d'hibiscus""]";"['Rincer soigneusement les branches de menthe.', ""Faire chauffer l'eau et y mettre le bouquet de feuille de menthe. Porter à ébullition jusqu'à obtenir un thé très parfumé. Retirer la boisson du feu ainsi que les branches de menthe."", ""Ensuite toujours hors du feu, mettre les 100 g de fleurs d'hibiscus en infusion pendant 30 min."", ""A l'aide d'une passoire retirez les fleurs d'hibiscus. Porter de nouveau à ébullition tout en incorporant le sucre en poudre pendant 10 min."", 'Remuer régulièrement le fond de la casserole.', ""Réduire le feu afin d'épaissir le sirop pendant 10 min. Laisser reposer le temps de faire échapper la vapeur et transvaser dans une bouteille en verre à l'aide d'un entonnoir.""]";['1 casserole', '1 Top 5 des meilleures passoires', '1 Cuillère en bois', '1 Entonnoir', '1 Blender chauffant', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_sirop-de-bissap-fleurs-d-hibiscus_337264.aspx
Vin de pissenlit;1h15;1 h;15 min;4;très facile;moyen;"['3 oranges', '2 kg de sucre', '3 l de Fleurs de pissenlit', ""4 l d' eau bouillante"", ""3 citrons non traités coupés en rondelles (avec l'écorce)"", '500 g de raisins secs']";"['Ebouillanter les fleurs de pissenlit. Laisser reposer 24 h, puis filtrer.', 'Ajouter les autres ingrédients et laisser macérer 25 jours en remuant tous les jours.', 'Filtrer au bout de ce temps et mettre en bouteille sans bouchon pendant 2 mois.', 'Filtrer à nouveau et mettre en bouteille avec bouchon.', ""Laisser vieillir : plus il aura vieilli, meilleur il sera (il est excellent au bout d'un an).""]";['1 Entonnoir'];https://www.marmiton.org/recettes/recette_vin-de-pissenlit_16554.aspx
Golden milk;15 min;5 min;10 min;2;très facile;moyen;"['1 cuillère à café rase de curcuma', '1 cuillère à café de gingembre râpé', '1 pincée de poivre', '30 cl de lait de coco', ""15 cl d' eau"", '1 cuillère à café de cannelle', ""1 cuillère à soupe de sirop d'agave""]";"['Dans une casserole, verser le lait et de coco.', 'Ajouter les épices sauf le poivre.', 'Mélanger et porter le tout à ébullition.', 'Couper le feu et laisser infuser pendant 10 minutes.', ""Ajouter le poivre et le sirop d'agave. Mélanger et déguster.""]";['1 casserole'];https://www.marmiton.org/recettes/recette_golden-milk_383838.aspx
Smoothie au lait de coco;10 min;10 min;-;2;très facile;bon marché;"['2 bananes bien mûres (mais pas noires quand-même!)', ""1 l de jus d'ananas"", '40 cl de lait de coco']";"['Ecrasez les bananes en purée assez fine, puis les passer au mixer.', ""Ajoutez le jus d'ananas et le lait de coco. Mixez de nouveau."", ""Et voilà, c'est déjà prêt!""]";['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-au-lait-de-coco_44427.aspx
Milkshake au Thermomix;5 min;5 min;-;4;facile;bon marché;['20 cl de crème fraîche', '2 cuillères à café de sucre', '200 g de yaourt à la grecque', '20 cl de sirop au parfum de votre choix'];['Congelez le yaourt mélangé au sirop, en petites portions dans des bacs à glaçons, pendant au moins 5 heures.', 'Versez les glaçons obtenus, la crème, le sucre dans la cuve du Thermomix. Mixez en augmentant la puissance progressivement, 40 sec / 0 °C / vit. 2 à 8. Dégustez immédiatement.'];['1 Thermomix', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_milkshake-au-thermomix_382556.aspx
Liqueur de prunes;10 min;10 min;-;6;très facile;bon marché;['sucre candy blanc (gros cristaux)', 'prune', 'eau de vie'];"[""Dans un bocal stérilisé, verser 1/3 d'eau de vie, 1/3 de sucre candy et 1/3 de prunes dénoyautées."", ""Laissez macérer 6 mois à l'abri de la lumière.""]";['1 Entonnoir', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-prunes_19486.aspx
Thé de Noël;10 min;10 min;-;1;facile;bon marché;"[""1 écorce d'orange séchée"", '2 cuillères à soupe de quatre-épices', '5 grains de poivre (ou baies rouges)', '5 cuillères à soupe de thé noir (ou vert, selon les goûts)', '1 mandarine séchée']";"['Prendre une bocal type pot de confiture pour y garnir votre thé de noël.', ""Remplir à moitié de thé et ajouter 2 cuillères à soupe de 4 épices, une écorce d'orange coupée finement et quelques grains de poivre ou de baies rouges."", 'Bien refermer le pot, mélanger en secouant le pot et laisser le thé s’imprégner du mélange pendant au moins une semaine.']";['1 saladier', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_the-de-noel_334287.aspx
Smoothie aux myrtilles;;-;-;1;facile;bon marché;['1 morceau de banane (environ 50 g avec la peau)', '10 g de chocolat noir', '100 g de myrtilles congelées', '10 cl de cerises glacé'];"['Râpez très finement le chocolat.', ""Gardez-en une moitié pour la garniture et mettez l'autre dans le mixeur."", 'Pelez la banane et coupez-la en morceaux.', 'Mettez dans le mixeur ; ajoutez les myrtilles et le nectar à la cerise et mixez de manière à obtenir une pâte homogène.', 'Versez dans un verre. Saupoudrez avec le reste de chocolat et mélangez avant de servir.']";['1 blender', '1 Râpe', '1 Mixeur', '1 saladier', '1 dénoyauteur'];https://www.marmiton.org/recettes/recette_smoothie-aux-myrtilles_175138.aspx
Cocktail vert potion magique spécial Halloween;2 min;2 min;-;2;très facile;bon marché;['50 cl de limonade', '4 ml de sirop de menthe', '10 cl de jus de pomme', '4 bonbon fil rouge pour la décoration', '2 chamallows'];['Verse 4 ml de sirop de menthe dans un grand verre puis ajoute 10 cl de jus de pomme, puis la limonade.', 'Mets les fils rouge en les faisant dépasser du verre et mets les chamallows sur la boisson.'];[];https://www.marmiton.org/recettes/recette_cocktail-special-halloween_531991.aspx
Cocktail de framboises au vin rosé;5 min;5 min;-;3;très facile;bon marché;['1 bouteille de vin rosé', '10 cl de sirop de framboise', '10 cl de Coulis de fraise', '50 g de framboises ou de fruits rouges surgelés'];['A préparer la veille du service :', 'Dans un shaker grand format, verser le rosé, la crème de framboise et le sirop de framboise.', 'Mélanger.', 'Réserver au frais pendant une nuit.', 'Une heure avant de servir le cocktail, ajouter les fruits surgelés dans la préparation.', 'Mélanger et servir.'];['1 Presse-ail', '1 Entonnoir', '1 Cuillère en bois', '1 shaker'];https://www.marmiton.org/recettes/recette_cocktail-de-framboises-au-vin-rose_88355.aspx
Vin de framboises rosé;10 min;10 min;-;6;très facile;bon marché;"['750 g de framboises', '600 g de sucre en morceaux (voir 500 g pour une boisson moins sucrée)', '3 l de vin rosé', ""50 cl d' alcool à 90° coupé à 45°""]";['Mélanger tous les ingrédients dans un grand récipient (ne pas presser les framboises) et laisser macérer 6 semaines.', 'Filtrer et mettre en bouteille.'];['1 Entonnoir', '1 presse agrume', '1 Cuillère en bois', '1 Grands récipient'];https://www.marmiton.org/recettes/recette_vin-de-framboises-rose_58547.aspx
Smoothie au kiwi et à la banane;10 min;10 min;-;1;très facile;bon marché;"['1 banane', '1 carré de sucre (ou 1 cuillère à café)', '2 kiwis', '½ sachet de sucre vanillé', ""7 cl d' eau"", '4 glaçons']";['Mixer simplement le tout et on obtient un smoothie délicieux.'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-au-kiwi-et-a-la-banane_305221.aspx
Smoothie de légumes glacé;5 min;5 min;-;4;très facile;bon marché;['2 tomates coeur de boeuf préalablement pelées', '2 carottes', '1 branche de céleri', 'citron jaune', 'citron vert', 'sel de céleri (selon le goût)', '1 cuillère à café de sauce worcestershire', '10 glaçons'];"['Verser tout ce qui est liquide dans le blender (mixeur).', 'Ajouter les légumes, préalablement pelés et découpés, puis les glaçons.', 'Laisser tourner le blender au moins 3 min.', ""C'est prêt !""]";['1 blender', '1 sorbetière', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-de-legumes-glace_48340.aspx
Chocolat chaud du Père Noël;20 min;10 min;10 min;4;très facile;bon marché;['150 g de chocolat pâtissier noir', '50 cl de lait entier', '20 g de crème liquide'];"['Dans une casserole, verser le lait et la crème. Porter à ébullition.', 'Pendant ce temps, concasser le chocolat en morceaux. Le réserver dans une seconde casserole.', ""Verser enfin la préparation lait-crème sur le chocolat et mélanger à l'aide d'une cuillère en bois.""]";['1 casserole', '1 Rouleau à pâtisserie', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_chocolat-chaud-du-pere-noel_85004.aspx
Thé glacé à la menthe;10 min;10 min;-;1;très facile;bon marché;"['20 g de sucre', '2 cuillères à café de thé vert', '30 feuilles de menthe fraîche', ""1 l d' eau""]";"[""Mettre la menthe, le thé et le sucre dans une casserole, mouiller avec le litre d'eau. Porter à ébulition, puis laisser infuser pendant 10 minutes."", ""Placer un chinois dans un entonnoir, et l'entonnoir dans une bouteille vide et bien nettoyée. Passez l'infusion, et la placer minimum 6 h au réfrigérateur."", 'Bien secouer la bouteille avant de servir.']";['1 sorbetière', '1 casserole', '1 chinois', '1 Entonnoir', '1 balance de cuisine', '1 Réfrigérateur'];https://www.marmiton.org/recettes/recette_the-glace-a-la-menthe-fraiche_17237.aspx
Smoothie banane et lait d'avoine;10 min;10 min;-;2;très facile;moyen;"['1 banane', '2 cuillères à café de miel', ""4 verres de lait d'avoine""]";"[""Dans un blender, mettre la banane coupée en morceaux, le lait d'avoine et le miel, puis tout mixer."", ""Vous n'avez plus qu'à servir et à déguster.""]";['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-banane-et-lait-d-avoine_310850.aspx
Thé à la pêche et au citron;10 min;5 min;5 min;4;facile;bon marché;"['50 g de sucre', ""1 l d' eau"", '2 sachets de thé', '4 pêches', '1 citron']";"[""Préparer avec 1 litre d'eau et le thé, une infusion forte et la verser encore chaude dans une carafe."", 'Laver l citron et les pêches, couper le citron en tranches et les pêches en petit tronçons ; les ajouter au thé ; sucrer.', 'Laisser refroidir et conserver au réfrigérateur.', 'Au moment de servir, retirer les tranches de citron.']";['1 couteau', '1 Réfrigérateur'];https://www.marmiton.org/recettes/recette_the-a-la-peche-et-au-citron_311710.aspx
Chocolat chaud au rhum;15 min;5 min;10 min;2;très facile;bon marché;['2 cuillères à soupe de rhum brun ambré', '50 cl de lait', '50 g de crème dessert au chocolat'];"[""Faire chauffer le lait dans une casserole puis incorporer petit à petit les carrés de chocolat en fouettant pour qu'ils fondent et se mélangent bien au lait."", 'Juste avant que le lait ne bouillisse, retirer du feu la casserole puis incorporer les 2 cuillères de rhum.', 'Déguster chaud avec une paille!']";['1 casserole', '1 Fouet cuisine', '1 saladier'];https://www.marmiton.org/recettes/recette_chocolat-chaud-au-rhum_82376.aspx
Smoothie Banane Chocolat;5 min;5 min;-;1;très facile;bon marché;"[""1 banane (ou la moitié d'une grosse)"", '1 demi verre de glaçons', '1 demi verre de lait', '1 cuillère de chocolat en poudre , selon goût']";['Mixer le tout au blender environ 30 sec.'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-banane-chocolat_72513.aspx
thé au thym;6 min;5 min;1 min;1;très facile;bon marché;['thym frais', 'thé noir'];"['Pour un thé délicatement parfumé au thym:', ""- si vous n'avez que du thé en sachet, ajoutez un petit branche de thym dans votre tasse."", '- Si vous avez du thé en feuilles, vous pouvez en préparer en quantité en y mélangeant les petites feuilles de thym. Comptez environ 1/3 de thym proportionnellement au thé.']";['1 saladier'];https://www.marmiton.org/recettes/recette_the-au-thym_80244.aspx
Thé Masala;10 min;5 min;5 min;4;très facile;moyen;['1 portion de gingembre sec', '¼ portion de cardamome', '0.1 portion de clou de girofle', '1 portion de poivre en grains', '½ portion de cannelle'];"[""Passez tous ces ingrédients dans un robot jusqu'à ce que cela devient une poudre assez fine."", 'Stocker la poudre obtenue dans un petit bocal en verre fermé.', 'Pour préparer le thé (pour une grande tasse) :', 'Faire bouillir 1/4 litre de lait avec une cuillère à café de thé noir et 1 sucre.', 'A ébullition, ajouter un 1/4 de cuillère à café de poudre massala, laisser bouillir 1 à 2 minutes.', 'Verser dans la tasse en filtrant avec une passoire.', 'Ajuster les quantités de sucre et de massala en fonction de votre goût pour les épices !']";['1 robot pâtissier', '1 casserole', '1 Top 5 des meilleures passoires', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_the-masala_40642.aspx
Liqueur de coing;10 min;10 min;-;10;très facile;bon marché;"['400 g de sucre', '2 oranges', '1 kg de coing', ""1 l d' alcool pour fruits"", '1 anis étoilé']";"['Cette liqueur doit reposer 1 mois.', 'Pelez et coupez les coings.', 'Gardez les pépins dans une gaze.', ""Ajoutez le tout dans l'alcool de fruit avec les oranges (avec peau) lavées et coupées en rondelles."", ""Ajoutez l'anis étoilé et le sucre."", 'Laissez macérer 1 mois dans un endroit frais en remuant de temps en temps pour que le sucre se mélange bien.', 'Filtrez puis embouteillez.']";['1 Entonnoir', '1 saladier', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-coing_53239.aspx
Le chocolat chaud à l'ancienne, de ma mamie!;30 min;20 min;10 min;4;très facile;bon marché;['1 tablette de chocolat au lait', '4 cuillères à café de crème fraîche', '4 tasses de lait entier', 'crème chantilly , si vous voulez'];"['Casser le chocolat en carrés et faire fondre doucement au bain-marie.', 'Quand le chocolat est fondu, ajouter un peu de lait. Mélanger avec un fouet.', ""Ajouter peu à peu le reste du lait en fouettant toujours, jusqu'à obtention d'un mélange homogène."", ""Ajouter la crème. Continuer de fouetter vivement jusqu'à formation d'une mousse sur le dessus."", 'Verser dans 4 tasses.', 'Ajouter un peu de chantilly si vous le désirez.']";['1 casserole', '1 Fouet cuisine', '1 Cuillère en bois', '1 saladier'];https://www.marmiton.org/recettes/recette_le-chocolat-chaud-a-l-ancienne-de-ma-mamie_80223.aspx
Smoothie kiwi banane fraises;10 min;10 min;-;3;très facile;bon marché;['10 fraises', '1 banane', '1 cuillère à soupe de miel (ou de sucre)', '5 kiwis', '5 cl de jus de citron vert en bouteille (ou jus de citron pressé)'];['Pelez les kiwis, et la banane. Coupez les fruits (banane, fraises et kiwis) en rondelles (grossièrement, de toute façon le tout sera mixé).', 'Versez dans un mixer, sans oublier le jus de citron vert et le miel. Et en dernier les kiwis.', 'On mixe et le tour est joué !'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-kiwi-banane-fraises_337347.aspx
Cocktail à l’ouzo (Grèce);10 min;10 min;-;1;facile;bon marché;"['1 cuillère à café de sucre de canne', ""3 cl d' ouzo"", ""12 cl de jus d'orange"", 'menthe fraîche', '½ jus de citron', ""1 trait d' eau gazeuse"", ""4 cl de jus d'ananas""]";"['Couper les feuilles de menthe et les répartir dans le fond du verre avec le sucre.', ""Mélanger ensemble le jus d'orange et le jus d'ananas. Verser ce mélange dans le verre et ajouter l'ouzo. Remuer à l’aide d’une cuillère."", 'Puis ajouter les glaçons et arroser d’eau pétillante.']";['1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cocktail-a-l-ouzo-grece_531089.aspx
Smoothie banane-orange;5 min;5 min;-;2;très facile;bon marché;['2 bananes', '2 oranges', '2 cuillères à café de sucre', '3 cuillères à café de jus de citron'];"['Presser les oranges.', ""Mixer ensemble le jus d'orange, le sucre, le jus de citron et les bananes pelées jusqu’à obtenir un mélange homogène."", 'Servir bien frais.']";['1 blender', '1 presse agrume', '1 saladier', '1 Mixeur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-banane-orange_217261.aspx
Liqueur aux plantes médicinales;1 h;1 h;-;2;moyenne;moyen;"[""2 cuillères à café d' anis vert"", ""500 g de miel d'acacia"", '8 branches de thym', '2 cuillères à café de coriandre', '2 cuillères à café de cumin', '3 cl de sucre de canne', '3 branches de romarin', ""10 g d' étoile de badiane"", '8 branches de serpolet', '8 branches de sarriette', '2 branches de sauge', '4 branches de mélisse', '10 branches de menthe', '50 g de fenouil', '4 girofle', '20 baies de genévrier', '50 brins de génépi', ""5 branches d' estragon"", '1 jus de citron vert', '3 branches de verveine']";"['Émincer les plantes à feuilles. Concasser les graines.', ""Faire macérer pendant 60 jours dans deux litres d'alcool de fruits à 40° dans un récipient de verre fermé hermétiquement."", 'Placer le récipient au soleil la première semaine puis à la cave.', ""Agiter régulièrement pour apporter de l'énergie."", 'Au bout de 60 jours, filtrer le mélange deux fois avec des filtres papier à café.', 'Ajouter enfin le miel et le sucre de canne. Mélanger et laisser reposer.', ""L'ABUS D'ALCOOL EST DANGEREUX POUR LA SANTE. A CONSOMMER AVEC MODÉRATION.""]";['1 Entonnoir', '1 Rouleau à pâtisserie', '1 couteau', '1 saladier', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-aux-plantes-medicinales_232028.aspx
Chocolat au lait by Cyrielle;20 min;10 min;10 min;1;très facile;bon marché;['2 carrés de chocolat pâtissier', '2 sucre', '1 noisette de beurre', '1 cuillère à café de miel', '1 bol de lait', '2 pincées de cannelle'];"['Faites chauffer le lait dans une casserole, à feu doux.', 'Une fois le lait bien chaud, intégrez le chocolat cassé en petits morceaux, et remuez tout le temps.', 'Ajoutez ensuite les sucres, sans cesser de remuer avec une cuillère en bois.', 'Mettez ensuite la noisette de beurre, toujours en remuant; intégrez la cannelle, en remuant toujours.', 'Sortez du feu, versez la préparation dans un bol, puis ajoutez la cuillère à café de miel.', ""Voilà c'est prêt!""]";['1 casserole', '1 Cuillère en bois', '1 bol', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_chocolat-au-lait-by-cyrielle_48573.aspx
Chocolat chaud aux épices;10 min;5 min;5 min;2;très facile;bon marché;['30 g de chocolat noir', '3 morceaux de sucre', '1 pincée de muscade', '1 pincée de poivre noir', '50 cl de lait entier ou demi écrémé', '5 cl de crème liquide', '1 pincée de cannelle'];"[""Faire chauffer le lait dans une casserole jusqu'à ébullition. Pendant ce temps là casser le chocolat en petits morceaux."", ""Une fois le lait à ébullition, baisser le feu, jeter le chocolat dans la casserole ainsi que les épices et fouetter le mélange jusqu'à ce que le chocolat soit fondu entièrement."", 'Laisser frémir le lait pendant quelques instants. Ajouter la crème liquide, battre de nouveau et... servir!']";['1 casserole', '1 Fouet cuisine', '1 saladier'];https://www.marmiton.org/recettes/recette_chocolat-chaud-aux-epices_29647.aspx
Café pare balles (bulletproof coffee);2 min;2 min;-;1;très facile;bon marché;['1 cuillère à soupe de beurre', '10 cl de café'];['Préparer le café, ajouter le beurre et touiller.'];[];https://www.marmiton.org/recettes/recette_cafe-pare-balles-bulletproof-coffee_342704.aspx
Liqueur de genièvre maison;20 min;20 min;-;1;facile;moyen;"['250 g de sucre fin', ""1 zeste d' orange"", '5 clous de girofle', '1 verre de genièvre', ""1 l d' alcool pour fruits ou eau de vie""]";"[""Récolter en juillet - août suivant l'altitude et la région, (avec une fourchette pour ne pas trop se piquer), des baies de genièvre vertes pratiquement à maturitée, (avant qu'el1es ne noircissent), de façon à en obtenir une fois trillée, au final, 1 verre de 20 à 25 cl."", ""Les baies noircissantes peuvent être gardées pour d'autres plats (choucroute...)"", ""Verser dans un récipient, (de plus d'un litre pouvant être couvert), l'alcool, le sucre, le zeste d'orange, les clous de girofle, remuer et laisser infuser pendant une bonne trentaine de jours en remuant de temps en temps pour bien dissoudre le sucre."", 'Filtrer avec un filtre à café, et laisser vieillir au moins un an.']";['1 Entonnoir', '1 Four', '1 fourchette', '1 Cuillère en bois', '1 Mijoteuse électrique', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-genievre-maison_65766.aspx
vin de groseilles;15 min;15 min;-;3;très facile;assez cher;['200 g de sucre en poudre', 'groseilles fraîches (2 kg pour 3 l de vin de groseilles)', '1 l de vin blanc moelleux', '50 cl de cointreau', 'citron (facultatif)'];"['Écrasez les groseilles dans un récipient.', ""Rajoutez y le sucre, mélangez et écrasez jusqu'à ce que le sucre soit totalement dissous."", 'Dans un bocal hermétique (en verre de préférence avec un couvercle en liège) mettez-y la préparation (jus-groseilles-sucre) et versez-y la bouteille de blanc.', 'Fermez et laissez dans un endroit frais et sans lumière. Remuez de temps en temps.', 'Après un mois, filtrez grossièrement et rajoutez 25 cl de Cointreau.', ""Laissez encore 2 semaines au frais et à l'abri de la lumière, toujours en remuant de temps à autre..."", 'Ensuite, filtrez, rajoutez les 25 cl de Cointreau restant, refiltrer si besoin, et mettez en bouteille.']";['1 Entonnoir', '1 saladier', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-de-groseilles_22994.aspx
Lait d'avoine express;10 min;10 min;-;1;facile;bon marché;"[""1 cuillère à soupe de miel ou sirop d'érable (optionnel)"", ""100 g de flocons d'avoine"", ""1 l d' eau""]";"['Placer les flocons d’avoine dans un blender et ajouter 1 litre d’eau, le sucre et le sel.', 'Mixer longuement sur la puissance maximale (faire des pauses si votre blender n’est pas très puissant).', ""Une fois le mélange bien homogène, filtrer à l’aide d’un tamis fin, en appuyant sur la pulpe d'avoine (appelée okara) à l'aide d'un cuillère à soupe pour extraire le maximum de liquide. L'okara peut être réutilisé dans un gâteau ou des cookies."", 'Verser le lait végétal dans une bouteille, placer au réfrigérateur et consommer dans les 4 jours.']";['1 blender', '1 réfrigérateur', '1 tamis', '1 cuillère à soupe', '1 Balance de cuisine'];https://www.marmiton.org/recettes/recette_lait-d-avoine-express_528522.aspx
Liqueur de bourgeons de sapin;40 min;10 min;30 min;1;facile;moyen;"['300 g de sucre', ""½ l d' eau de vie""]";"['Bien secouer les bourgeons pour éliminer éventuellement de petits insectes. Mettre dans un grand saladier.', ""Verser dessus l'eau-de-vie et laisser macérer 12 heures. Passer le jus."", ""Mouiller le sucre avec un peu d'eau et cuire jusqu'à ce qu'apparaisse la perle au bout d'une spatule en bois. Y incorporer doucement le jus des bourgeons et donner un bouillon."", 'Refroidir et filtrer dans des bouteilles.']";['1 Entonnoir', '1 saladier', '1 Spatule', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-bourgeons-de-sapin_30247.aspx
